dataset,model_architecture,attack_mode,config_branch,model_variant,attack_variant,threshold,config_label,mode,purification_operator,purification_threshold,certificate_report_strategy,adaptive_profile,p_delete,p_add,max_additions,num_seeds,seeds,evaluated_nodes_mean,evaluated_nodes_std,evaluated_nodes_sample_std,evaluated_nodes_sem,evaluated_nodes_ci95_half_width,evaluated_nodes_ci95_low,evaluated_nodes_ci95_high,evaluated_nodes_min,evaluated_nodes_max,purified_plain_correct_fraction_mean,purified_plain_correct_fraction_std,purified_plain_correct_fraction_sample_std,purified_plain_correct_fraction_sem,purified_plain_correct_fraction_ci95_half_width,purified_plain_correct_fraction_ci95_low,purified_plain_correct_fraction_ci95_high,purified_plain_correct_fraction_min,purified_plain_correct_fraction_max,correct_fraction_mean,correct_fraction_std,correct_fraction_sample_std,correct_fraction_sem,correct_fraction_ci95_half_width,correct_fraction_ci95_low,correct_fraction_ci95_high,correct_fraction_min,correct_fraction_max,abstained_fraction_mean,abstained_fraction_std,abstained_fraction_sample_std,abstained_fraction_sem,abstained_fraction_ci95_half_width,abstained_fraction_ci95_low,abstained_fraction_ci95_high,abstained_fraction_min,abstained_fraction_max,correct_abstained_fraction_mean,correct_abstained_fraction_std,correct_abstained_fraction_sample_std,correct_abstained_fraction_sem,correct_abstained_fraction_ci95_half_width,correct_abstained_fraction_ci95_low,correct_abstained_fraction_ci95_high,correct_abstained_fraction_min,correct_abstained_fraction_max,correct_zero_radius_fraction_mean,correct_zero_radius_fraction_std,correct_zero_radius_fraction_sample_std,correct_zero_radius_fraction_sem,correct_zero_radius_fraction_ci95_half_width,correct_zero_radius_fraction_ci95_low,correct_zero_radius_fraction_ci95_high,correct_zero_radius_fraction_min,correct_zero_radius_fraction_max,positive_certified_fraction_mean,positive_certified_fraction_std,positive_certified_fraction_sample_std,positive_certified_fraction_sem,positive_certified_fraction_ci95_half_width,positive_certified_fraction_ci95_low,positive_certified_fraction_ci95_high,positive_certified_fraction_min,positive_certified_fraction_max,max_reported_radius_mean,max_reported_radius_std,max_reported_radius_sample_std,max_reported_radius_sem,max_reported_radius_ci95_half_width,max_reported_radius_ci95_low,max_reported_radius_ci95_high,max_reported_radius_min,max_reported_radius_max,mean_pA_lower_mean,mean_pA_lower_std,mean_pA_lower_sample_std,mean_pA_lower_sem,mean_pA_lower_ci95_half_width,mean_pA_lower_ci95_low,mean_pA_lower_ci95_high,mean_pA_lower_min,mean_pA_lower_max,mean_lower_margin_mean,mean_lower_margin_std,mean_lower_margin_sample_std,mean_lower_margin_sem,mean_lower_margin_ci95_half_width,mean_lower_margin_ci95_low,mean_lower_margin_ci95_high,mean_lower_margin_min,mean_lower_margin_max,mean_purified_confidence_mean,mean_purified_confidence_std,mean_purified_confidence_sample_std,mean_purified_confidence_sem,mean_purified_confidence_ci95_half_width,mean_purified_confidence_ci95_low,mean_purified_confidence_ci95_high,mean_purified_confidence_min,mean_purified_confidence_max,mean_purified_margin_mean,mean_purified_margin_std,mean_purified_margin_sample_std,mean_purified_margin_sem,mean_purified_margin_ci95_half_width,mean_purified_margin_ci95_low,mean_purified_margin_ci95_high,mean_purified_margin_min,mean_purified_margin_max,mean_target_degree_mean,mean_target_degree_std,mean_target_degree_sample_std,mean_target_degree_sem,mean_target_degree_ci95_half_width,mean_target_degree_ci95_low,mean_target_degree_ci95_high,mean_target_degree_min,mean_target_degree_max,mean_resolved_p_delete_mean,mean_resolved_p_delete_std,mean_resolved_p_delete_sample_std,mean_resolved_p_delete_sem,mean_resolved_p_delete_ci95_half_width,mean_resolved_p_delete_ci95_low,mean_resolved_p_delete_ci95_high,mean_resolved_p_delete_min,mean_resolved_p_delete_max,mean_resolved_p_add_mean,mean_resolved_p_add_std,mean_resolved_p_add_sample_std,mean_resolved_p_add_sem,mean_resolved_p_add_ci95_half_width,mean_resolved_p_add_ci95_low,mean_resolved_p_add_ci95_high,mean_resolved_p_add_min,mean_resolved_p_add_max,mean_resolved_max_additions_mean,mean_resolved_max_additions_std,mean_resolved_max_additions_sample_std,mean_resolved_max_additions_sem,mean_resolved_max_additions_ci95_half_width,mean_resolved_max_additions_ci95_low,mean_resolved_max_additions_ci95_high,mean_resolved_max_additions_min,mean_resolved_max_additions_max
CiteSeer,graphsage,standard,mainline,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,jaccard,0.01,rest,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9249860913085856,0.0,0.0,0.0,0.0,0.9249860913085856,0.9249860913085856,0.9249860913085856,0.9249860913085856,0.8499721826171716,0.0,0.0,0.0,0.0,0.8499721826171716,0.8499721826171716,0.8499721826171716,0.8499721826171716,0.4598682140931487,0.0,0.0,0.0,0.0,0.4598682140931487,0.4598682140931487,0.4598682140931487,0.4598682140931487,0.2823853208683431,0.0,0.0,0.0,0.0,0.2823853208683431,0.2823853208683431,0.2823853208683431,0.2823853208683431,3.4375,0.0,0.0,0.0,0.0,3.4375,3.4375,3.4375,3.4375,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
CiteSeer,graphsage,standard,mainline,clean-training,clean-training,0.01,symmetric-0.3-cosine-top2,symmetric-edge-flip,cosine,0.01,top2,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9289109096953195,0.0,0.0,0.0,0.0,0.9289109096953195,0.9289109096953195,0.9289109096953195,0.9289109096953195,0.8581365202366323,0.0,0.0,0.0,0.0,0.8581365202366323,0.8581365202366323,0.8581365202366323,0.8581365202366323,0.4598682140931487,0.0,0.0,0.0,0.0,0.4598682140931487,0.4598682140931487,0.4598682140931487,0.4598682140931487,0.2823853208683431,0.0,0.0,0.0,0.0,0.2823853208683431,0.2823853208683431,0.2823853208683431,0.2823853208683431,3.4375,0.0,0.0,0.0,0.0,3.4375,3.4375,3.4375,3.4375,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
CiteSeer,graphsage,standard,mainline,clean-training,clean-training,0.01,symmetric-0.3-top2,symmetric-edge-flip,jaccard,0.01,top2,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.4375,0.0,0.0,0.0,0.0,0.4375,0.4375,0.4375,0.4375,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9237638606210359,0.0,0.0,0.0,0.0,0.9237638606210359,0.9237638606210359,0.9237638606210359,0.9237638606210359,0.8475277212420723,0.0,0.0,0.0,0.0,0.8475277212420723,0.8475277212420723,0.8475277212420723,0.8475277212420723,0.4598682140931487,0.0,0.0,0.0,0.0,0.4598682140931487,0.4598682140931487,0.4598682140931487,0.4598682140931487,0.2823853208683431,0.0,0.0,0.0,0.0,0.2823853208683431,0.2823853208683431,0.2823853208683431,0.2823853208683431,3.4375,0.0,0.0,0.0,0.0,3.4375,3.4375,3.4375,3.4375,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
CiteSeer,graphsage,standard,mainline,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,jaccard,0.02,rest,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.3125,0.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.3125,0.4375,0.0,0.0,0.0,0.0,0.4375,0.4375,0.4375,0.4375,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.923489741566481,0.0,0.0,0.0,0.0,0.923489741566481,0.923489741566481,0.923489741566481,0.923489741566481,0.8469794831329623,0.0,0.0,0.0,0.0,0.8469794831329623,0.8469794831329623,0.8469794831329623,0.8469794831329623,0.4281607158482075,0.0,0.0,0.0,0.0,0.4281607158482075,0.4281607158482075,0.4281607158482075,0.4281607158482075,0.2521155974827707,0.0,0.0,0.0,0.0,0.2521155974827707,0.2521155974827707,0.2521155974827707,0.2521155974827707,2.6875,0.0,0.0,0.0,0.0,2.6875,2.6875,2.6875,2.6875,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
CiteSeer,graphsage,standard,mainline,clean-training,clean-training,0.02,symmetric-0.3-cosine-top2,symmetric-edge-flip,cosine,0.02,top2,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9256901317314689,0.0,0.0,0.0,0.0,0.9256901317314689,0.9256901317314689,0.9256901317314689,0.9256901317314689,0.8513802634629383,0.0,0.0,0.0,0.0,0.8513802634629383,0.8513802634629383,0.8513802634629383,0.8513802634629383,0.4598682140931487,0.0,0.0,0.0,0.0,0.4598682140931487,0.4598682140931487,0.4598682140931487,0.4598682140931487,0.2823853208683431,0.0,0.0,0.0,0.0,0.2823853208683431,0.2823853208683431,0.2823853208683431,0.2823853208683431,3.4375,0.0,0.0,0.0,0.0,3.4375,3.4375,3.4375,3.4375,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
CiteSeer,graphsage,standard,mainline,clean-training,clean-training,0.02,symmetric-0.3-top2,symmetric-edge-flip,jaccard,0.02,top2,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.3125,0.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.3125,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9270154154266291,0.0,0.0,0.0,0.0,0.9270154154266291,0.9270154154266291,0.9270154154266291,0.9270154154266291,0.8540308308532586,0.0,0.0,0.0,0.0,0.8540308308532586,0.8540308308532586,0.8540308308532586,0.8540308308532586,0.4281607158482075,0.0,0.0,0.0,0.0,0.4281607158482075,0.4281607158482075,0.4281607158482075,0.4281607158482075,0.2521155974827707,0.0,0.0,0.0,0.0,0.2521155974827707,0.2521155974827707,0.2521155974827707,0.2521155974827707,2.6875,0.0,0.0,0.0,0.0,2.6875,2.6875,2.6875,2.6875,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
CiteSeer,graphsage,standard,mainline,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,jaccard,0.05,rest,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.4375,0.0,0.0,0.0,0.0,0.4375,0.4375,0.4375,0.4375,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9247208919470746,0.0,0.0,0.0,0.0,0.9247208919470746,0.9247208919470746,0.9247208919470746,0.9247208919470746,0.8494417838941495,0.0,0.0,0.0,0.0,0.8494417838941495,0.8494417838941495,0.8494417838941495,0.8494417838941495,0.35268055368214846,0.0,0.0,0.0,0.0,0.35268055368214846,0.35268055368214846,0.35268055368214846,0.35268055368214846,0.1681983871385455,0.0,0.0,0.0,0.0,0.1681983871385455,0.1681983871385455,0.1681983871385455,0.1681983871385455,1.5625,0.0,0.0,0.0,0.0,1.5625,1.5625,1.5625,1.5625,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
CiteSeer,graphsage,standard,mainline,clean-training,clean-training,0.05,symmetric-0.3-cosine-top2,symmetric-edge-flip,cosine,0.05,top2,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.3125,0.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.3125,0.4375,0.0,0.0,0.0,0.0,0.4375,0.4375,0.4375,0.4375,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9267304367571522,0.0,0.0,0.0,0.0,0.9267304367571522,0.9267304367571522,0.9267304367571522,0.9267304367571522,0.8534608735143047,0.0,0.0,0.0,0.0,0.8534608735143047,0.8534608735143047,0.8534608735143047,0.8534608735143047,0.4281607158482075,0.0,0.0,0.0,0.0,0.4281607158482075,0.4281607158482075,0.4281607158482075,0.4281607158482075,0.2521155974827707,0.0,0.0,0.0,0.0,0.2521155974827707,0.2521155974827707,0.2521155974827707,0.2521155974827707,2.6875,0.0,0.0,0.0,0.0,2.6875,2.6875,2.6875,2.6875,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
CiteSeer,graphsage,standard,mainline,clean-training,clean-training,0.05,symmetric-0.3-top2,symmetric-edge-flip,jaccard,0.05,top2,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.4375,0.0,0.0,0.0,0.0,0.4375,0.4375,0.4375,0.4375,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9270296633992734,0.0,0.0,0.0,0.0,0.9270296633992734,0.9270296633992734,0.9270296633992734,0.9270296633992734,0.8542127812012456,0.0,0.0,0.0,0.0,0.8542127812012456,0.8542127812012456,0.8542127812012456,0.8542127812012456,0.35268055368214846,0.0,0.0,0.0,0.0,0.35268055368214846,0.35268055368214846,0.35268055368214846,0.35268055368214846,0.1681983871385455,0.0,0.0,0.0,0.0,0.1681983871385455,0.1681983871385455,0.1681983871385455,0.1681983871385455,1.5625,0.0,0.0,0.0,0.0,1.5625,1.5625,1.5625,1.5625,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
CiteSeer,graphsage,standard,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.3,symmetric-edge-flip,jaccard,0.01,rest,,0.3,0.3,160,1,7,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.3125,0.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.3125,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.927363624920401,0.0,0.0,0.0,0.0,0.927363624920401,0.927363624920401,0.927363624920401,0.927363624920401,0.8547272498408026,0.0,0.0,0.0,0.0,0.8547272498408026,0.8547272498408026,0.8547272498408026,0.8547272498408026,0.4310586666688323,0.0,0.0,0.0,0.0,0.4310586666688323,0.4310586666688323,0.4310586666688323,0.4310586666688323,0.2357162069529295,0.0,0.0,0.0,0.0,0.2357162069529295,0.2357162069529295,0.2357162069529295,0.2357162069529295,3.5625,0.0,0.0,0.0,0.0,3.5625,3.5625,3.5625,3.5625,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,160.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,160.0
