p_flip,radius,certified_nodes,evaluated_nodes,certified_accuracy,certified_accuracy_ci_lower,certified_accuracy_ci_upper
0.01,0,2,10,0.2,0.05668094798069328,0.5098431532792767
0.01,1,0,10,0.0,0.0,0.2775401687666165
0.01,2,0,10,0.0,0.0,0.2775401687666165
0.01,3,0,10,0.0,0.0,0.2775401687666165
0.01,4,0,10,0.0,0.0,0.2775401687666165
0.01,5,0,10,0.0,0.0,0.2775401687666165
0.02,0,0,10,0.0,0.0,0.2775401687666165
0.02,1,0,10,0.0,0.0,0.2775401687666165
0.02,2,0,10,0.0,0.0,0.2775401687666165
0.02,3,0,10,0.0,0.0,0.2775401687666165
0.02,4,0,10,0.0,0.0,0.2775401687666165
0.02,5,0,10,0.0,0.0,0.2775401687666165
0.05,0,0,10,0.0,0.0,0.2775401687666165
0.05,1,0,10,0.0,0.0,0.2775401687666165
0.05,2,0,10,0.0,0.0,0.2775401687666165
0.05,3,0,10,0.0,0.0,0.2775401687666165
0.05,4,0,10,0.0,0.0,0.2775401687666165
0.05,5,0,10,0.0,0.0,0.2775401687666165
0.1,0,0,10,0.0,0.0,0.2775401687666165
0.1,1,0,10,0.0,0.0,0.2775401687666165
0.1,2,0,10,0.0,0.0,0.2775401687666165
0.1,3,0,10,0.0,0.0,0.2775401687666165
0.1,4,0,10,0.0,0.0,0.2775401687666165
0.1,5,0,10,0.0,0.0,0.2775401687666165
